"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"116"	116	72	96	115	133	9	11	12	13	59198	2326
"117"	117	6	8	10	12	17	27	32	38	2587	78
"118"	118	1	2	4	5	5	9	22	42	2481	70
"119"	119	0	0	0	0	0	3	10	10	2088	59
"120"	120	0	0	0	0	0	2	2	4	1154	42
"121"	121	81	101	113	138	9	10	12	12	59198	2326
"122"	122	6	7	10	13	12	17	24	30	2724	85
"123"	123	3	6	7	9	18	30	44	59	2596	71
"124"	124	0	0	0	0	0	0	4	4	2168	63
"125"	125	0	0	0	0	0	1	1	1	1113	40
"126"	126	58	81	115	128	9	10	12	13	59198	2326
"127"	127	6	9	12	13	12	17	25	28	2872	92
"128"	128	0	1	4	5	10	20	44	67	2819	78
"129"	129	0	0	1	1	0	2	7	14	2431	71
"130"	130	0	0	0	0	0	0	0	1	1237	47
"131"	131	78	96	117	138	9	10	11	13	59198	2326
"132"	132	13	16	23	24	122	130	152	154	2959	95
"133"	133	1	1	4	5	6	18	35	58	2802	78
"134"	134	0	0	0	0	1	1	1	3	2179	65
"135"	135	2	3	3	4	0	0	1	1	1200	42
"136"	136	82	102	113	129	9	11	12	13	59198	2326
"137"	137	8	12	14	18	125	132	150	160	3013	96
"138"	138	1	1	2	4	14	28	35	56	2704	75
"139"	139	0	0	1	3	0	0	2	4	2521	77
"140"	140	0	0	0	0	0	0	1	3	1608	51
"141"	141	75	86	114	140	8	11	11	13	59198	2326
"142"	142	8	8	14	19	115	123	141	159	3083	99
"143"	143	2	2	5	11	13	20	35	62	2760	76
"144"	144	0	0	0	2	0	1	3	7	2099	68
"145"	145	0	0	0	0	0	1	5	6	1620	56
"146"	146	70	89	114	121	8	11	11	13	59198	2326
"147"	147	7	8	14	16	113	137	147	151	3130	100
"148"	148	2	3	5	7	38	54	66	78	3372	95
"149"	149	0	0	0	0	0	0	1	3	2422	77
"150"	150	0	0	0	0	1	3	7	10	1664	54
