"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"121"	121	0	0	0	0	0	0	0	0	10	1
"122"	122	0	0	1	1	5	5	5	5	56	3
"123"	123	0	0	0	0	0	0	0	0	22	1
"124"	124	0	0	0	1	0	0	0	0	15	1
"125"	125	0	0	0	0	0	0	1	1	63	1
"126"	126	0	0	0	0	3	3	4	4	80	2
"127"	127	0	0	0	0	0	0	1	3	38	1
"128"	128	0	0	0	1	0	0	1	2	10	1
"129"	129	0	0	0	0	0	0	1	1	28	1
"130"	130	0	0	0	0	0	0	0	0	38	1
"131"	131	0	0	0	0	0	0	1	1	43	1
"132"	132	0	0	0	0	4	5	5	6	67	2
"133"	133	0	0	0	0	0	0	0	1	38	1
"134"	134	0	0	0	0	0	0	0	2	78	1
"135"	135	0	0	0	0	5	5	6	6	83	2
"136"	136	0	0	0	0	0	0	0	0	21	1
"137"	137	0	0	0	0	0	0	0	0	31	1
"138"	138	0	1	8	11	2	2	2	2	14	2
"139"	139	0	0	0	0	0	0	0	0	35	1
"140"	140	0	0	0	0	0	0	0	0	39	1
"141"	141	0	0	0	0	0	0	1	4	19	1
"142"	142	0	0	0	0	0	0	0	1	24	1
"143"	143	132	151	170	187	18	18	18	18	17	1
"144"	144	0	0	0	0	0	0	0	0	31	1
"145"	145	0	0	0	0	0	0	0	0	39	1
"146"	146	0	0	0	0	1	2	2	2	129	2
"147"	147	0	1	2	6	0	1	1	1	22	2
"148"	148	0	0	0	0	0	0	1	2	37	1
"149"	149	0	0	1	1	0	0	1	1	16	1
"150"	150	0	0	0	0	0	0	1	6	130	1
"151"	151	0	0	0	0	0	0	0	0	45	2
"152"	152	0	0	0	0	0	0	0	0	19	1
"153"	153	0	1	2	3	6	10	13	13	22	2
"154"	154	0	0	0	0	0	0	0	0	52	1
"155"	155	0	0	0	0	0	0	0	0	14	1
"156"	156	0	1	2	2	0	0	0	2	20	1
"157"	157	0	0	1	1	0	0	0	1	20	1
"158"	158	0	0	0	1	0	0	0	0	24	1
"159"	159	0	0	0	0	0	0	0	3	44	1
"160"	160	0	0	0	0	0	0	2	3	35	1
"161"	161	0	0	0	0	0	1	2	3	49	1
"162"	162	0	0	0	0	0	0	0	0	127	1
"163"	163	0	0	0	0	0	0	0	0	17	1
"164"	164	0	0	0	0	0	0	0	0	32	2
"165"	165	0	0	1	2	0	0	0	4	14	1
"166"	166	0	0	0	1	0	0	0	0	11	1
"167"	167	2	2	6	7	0	0	0	0	26	1
"168"	168	0	0	0	0	0	0	3	6	58	1
"169"	169	0	0	0	0	0	0	0	0	15	1
"170"	170	0	0	2	5	0	0	0	3	34	1
"171"	171	0	0	0	0	0	0	0	2	36	1
"172"	172	0	0	0	0	0	0	0	4	34	1
"173"	173	0	1	3	3	0	0	0	0	9	1
"174"	174	0	0	3	5	0	0	0	2	17	1
"175"	175	0	0	0	3	0	0	0	1	52	1
"176"	176	0	0	0	0	0	0	0	0	6	1
"177"	177	0	0	0	0	0	0	0	0	30	1
"178"	178	0	0	0	0	0	0	1	1	36	1
"179"	179	0	0	0	0	0	0	1	10	65	1
"180"	180	0	0	0	0	0	0	0	0	19	1
"181"	181	0	0	0	0	0	0	0	0	19	1
"182"	182	0	0	0	0	0	0	2	2	14	1
"183"	183	0	0	1	1	0	0	0	3	21	1
"184"	184	0	0	0	0	0	0	0	1	16	1
"185"	185	0	0	2	4	0	0	0	0	36	1
"186"	186	0	0	0	0	1	2	2	2	43	2
"187"	187	0	0	1	2	0	0	0	0	15	1
"188"	188	0	0	0	1	0	0	0	3	13	1
"189"	189	0	0	0	1	0	0	0	4	25	1
"190"	190	0	0	0	1	0	0	0	2	42	1
"191"	191	7	11	14	19	1	2	2	2	3	1
"192"	192	0	0	0	0	0	0	0	1	148	1
"193"	193	0	0	1	2	0	0	0	0	23	1
"194"	194	0	0	0	1	0	0	0	1	16	1
"195"	195	0	0	0	0	0	0	0	14	86	1
"196"	196	0	0	0	1	11	14	14	14	56	1
"197"	197	0	1	2	3	0	0	0	0	13	1
"198"	198	0	0	0	0	0	0	0	3	43	1
"199"	199	0	1	2	2	0	0	0	1	27	1
"200"	200	0	0	0	0	0	0	0	0	14	1
